🌹XPB主页🌹,#genre#
XPB主页,https://xpb.mhfs.eu.org/ds.mp4

🌹潮汕频道🌹,#genre#
潮州综合,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101
潮州民生,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20260101
潮州民生,http://livezhpd.czbtv.com:38880/live/ctvggpd.m3u8?secret=czbtv20260101

潮州综合,http://gdjydx.sohu.blog:1698/hls/3/index.m3u8
潮州民生,http://gdjydx.sohu.blog:1698/hls/4/index.m3u8
揭阳生活,http://gdjydx.sohu.blog:1698/hls/2/index.m3u8
揭阳综合,http://gdjydx.sohu.blog:1698/hls/1/index.m3u8

广东卫视,http://115.29.208.41:39999/gdczdx.php?id=1032
汕头综合,http://115.29.208.41:39999/gdczdx.php?id=1000
汕头经济,http://115.29.208.41:39999/gdczdx.php?id=1001
揭阳综合,http://115.29.208.41:39999/gdczdx.php?id=1004
揭阳公共,http://115.29.208.41:39999/gdczdx.php?id=1141
CCTV-1综合,http://115.29.208.41:39999/gdczdx.php?id=1005
CCTV-2财经,http://115.29.208.41:39999/gdczdx.php?id=1007
CCTV-3综艺,http://115.29.208.41:39999/gdczdx.php?id=1009
CCTV-4中文国际,http://115.29.208.41:39999/gdczdx.php?id=1008
CCTV-5体育,http://115.29.208.41:39999/gdczdx.php?id=1010
CCTV-6电影,http://115.29.208.41:39999/gdczdx.php?id=1026
CCTV-7国防军事,http://115.29.208.41:39999/gdczdx.php?id=1038
CCTV-8电视剧,http://115.29.208.41:39999/gdczdx.php?id=1110
CCTV-9纪录,http://115.29.208.41:39999/gdczdx.php?id=1124
CCTV-10科教,http://115.29.208.41:39999/gdczdx.php?id=1129
CCTV-11戏曲,http://115.29.208.41:39999/gdczdx.php?id=1130
CCTV-12社会与法,http://115.29.208.41:39999/gdczdx.php?id=1011
CCTV-13新闻,http://115.29.208.41:39999/gdczdx.php?id=1012
CCTV-14少儿,http://115.29.208.41:39999/gdczdx.php?id=1013
CCTV-15音乐,http://115.29.208.41:39999/gdczdx.php?id=1040
CCTV-16奥林匹克,http://115.29.208.41:39999/gdczdx.php?id=1006
CCTV-17农业农村,http://115.29.208.41:39999/gdczdx.php?id=1003
黑龙江卫视,http://115.29.208.41:39999/gdczdx.php?id=1014
山东卫视高清,http://115.29.208.41:39999/gdczdx.php?id=1015
河北卫视,http://115.29.208.41:39999/gdczdx.php?id=1016
河南卫视,http://115.29.208.41:39999/gdczdx.php?id=1017
山东教育,http://115.29.208.41:39999/gdczdx.php?id=1018
湖北卫视,http://115.29.208.41:39999/gdczdx.php?id=1019
吉林卫视,http://115.29.208.41:39999/gdczdx.php?id=1020
山西卫视,http://115.29.208.41:39999/gdczdx.php?id=1021
江西卫视,http://115.29.208.41:39999/gdczdx.php?id=1022
贵州卫视,http://115.29.208.41:39999/gdczdx.php?id=1023
宁夏卫视,http://115.29.208.41:39999/gdczdx.php?id=1024
内蒙古,http://115.29.208.41:39999/gdczdx.php?id=1025
海南卫视,http://115.29.208.41:39999/gdczdx.php?id=1027
广西卫视,http://115.29.208.41:39999/gdczdx.php?id=1028
四川卫视,http://115.29.208.41:39999/gdczdx.php?id=1030
东南卫视,http://115.29.208.41:39999/gdczdx.php?id=1031
广东珠江,http://115.29.208.41:39999/gdczdx.php?id=1002
广东新闻,http://115.29.208.41:39999/gdczdx.php?id=1033
广州影视,http://115.29.208.41:39999/gdczdx.php?id=1034
广州综合,http://115.29.208.41:39999/gdczdx.php?id=1035
佛山影视,http://115.29.208.41:39999/gdczdx.php?id=1036
佛山顺德,http://115.29.208.41:39999/gdczdx.php?id=1037
河源综合,http://115.29.208.41:39999/gdczdx.php?id=1039
梅州综合,http://115.29.208.41:39999/gdczdx.php?id=1041
深圳卫视,http://115.29.208.41:39999/gdczdx.php?id=1042
深圳都市,http://115.29.208.41:39999/gdczdx.php?id=1043
深圳龙岗频道,http://115.29.208.41:39999/gdczdx.php?id=1044
深圳电视剧,http://115.29.208.41:39999/gdczdx.php?id=1045
CCTV世界地理,http://115.29.208.41:39999/gdczdx.php?id=1046
第一剧场,http://115.29.208.41:39999/gdczdx.php?id=1047
怀旧剧场,http://115.29.208.41:39999/gdczdx.php?id=1048
风云剧场,http://115.29.208.41:39999/gdczdx.php?id=1049
天气预报,http://115.29.208.41:39999/gdczdx.php?id=1029


潮州综合,http://183.239.108.37:1698/hls/8/index.m3u8 
潮州综合,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101 
潮州综合,http://211.97.63.3:3443/hls/503/index.m3u8 
潮州综合,http://pr.19760929.xyz:9688/rtp/239.253.43.70:5146 
潮州综合,http://183.51.190.224:6633/udp/239.253.43.70:5146 
潮州综合,http://www.guangyuan.site:8188/rtp/239.253.43.70:5146 
潮州综合,http://183.236.43.98:4014/rtp/239.253.43.70:5146 
潮州综合,http://113.65.124.131:9527/udp/239.253.43.70:5146 
潮州综合,http://vpn.jk960.cn:8686/rtp/239.253.43.70:5146 
潮州综合,http://14.221.177.77:4022/udp/239.253.43.70:5146 
潮州民生,http://183.239.108.37:1698/hls/9/index.m3u8 
潮州民生,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20260101 
潮州民生,http://pr.19760929.xyz:9688/rtp/239.253.43.75:5146 
潮州民生,http://183.51.190.224:6633/udp/239.253.43.75:5146 
潮州民生,http://www.guangyuan.site:8188/rtp/239.253.43.75:5146 
潮州民生,http://113.65.124.131:9527/udp/239.253.43.75:5146 
潮州民生,http://vpn.jk960.cn:8686/rtp/239.253.43.75:5146
汕头综合,http://183.239.108.37:1698/hls/3/index.m3u8 
汕头综合,http://211.97.63.3:3443/hls/40/index.m3u8 
汕头综合,http://pr.19760929.xyz:9688/rtp/239.253.43.45:5146 
汕头综合,http://183.51.190.224:6633/udp/239.253.43.45:5146 
汕头综合,http://14.221.177.77:4022/udp/239.253.43.45:5146 
汕头综合,http://www.guangyuan.site:8188/rtp/239.253.43.45:5146 
汕头综合,http://183.51.190.224:6633/udp/239.77.1.130:5146 
汕头综合,http://113.65.124.131:9527/udp/239.77.1.130:5146 
汕头综合,http://183.236.43.98:4013/rtp/239.77.1.130:5146 
汕头经济,http://211.97.63.3:3443/hls/501/index.m3u8 
汕头经济,http://183.239.108.37:1698/hls/4/index.m3u8 
汕头经济,http://211.97.63.3:3443/hls/41/index.m3u8 
汕头经济,http://pr.19760929.xyz:9688/rtp/239.253.43.46:5146 
汕头经济,http://www.guangyuan.site:8188/rtp/239.253.43.46:5146 
汕头经济,http://183.51.190.224:6633/udp/239.253.43.46:5146 
汕头经济,http://183.51.190.224:6633/udp/239.77.1.131:5146 
汕头经济,http://183.236.43.98:4013/rtp/239.77.1.131:5146 
揭阳生活,http://183.239.108.37:1698/hls/7/index.m3u8 
揭阳生活,http://211.97.63.3:3443/hls/37/index.m3u8 
揭阳生活,http://pr.19760929.xyz:9688/rtp/239.77.0.251:5146 
揭阳综合,http://183.239.108.37:1698/hls/6/index.m3u8 
揭阳综合,http://211.97.63.3:3443/hls/36/index.m3u8 
揭阳综合,http://pr.19760929.xyz:9688/rtp/239.77.0.229:5146

汕头综合频道,http://129.211.14.102:25000/gdst.php?id=st1&token=www.9kds.com
汕头经济生活,http://129.211.14.102:25000/gdst.php?id=st2&token=www.9kds.com
汕头综合频道,https://gd.luzong.cc.cd/stzh
汕头经济生活,https://t.freetv.fun/live/shan-tou-jing-ji-sheng-huo.m3u8


广东卫视,https://gd.luzong.cc.cd/gdws
大湾区卫视,https://gd.luzong.cc.cd/dwqws
广东珠江,https://gd.luzong.cc.cd/gdzj
广东新闻,https://gd.luzong.cc.cd/gdxw
广东体育,https://gd.luzong.cc.cd/gdty
广东民生(公共),https://gd.luzong.cc.cd/gdgg
广东影视,https://gd.luzong.cc.cd/gdys
广东少儿,https://gd.luzong.cc.cd/gdse
嘉佳卡通,https://gd.luzong.cc.cd/jjkt
4K超高清(综艺),https://gd.luzong.cc.cd/gdzy
大湾区卫视海外,https://gd.luzong.cc.cd/dwqhw
南方购物,https://gd.luzong.cc.cd/nfgw
岭南戏曲,https://gd.luzong.cc.cd/lnxq
广东台经典剧,https://gd.luzong.cc.cd/gdjdj
现代教育,https://gd.luzong.cc.cd/xdjy
纪录片,https://gd.luzong.cc.cd/jlp
GRTN健康频道,https://gd.luzong.cc.cd/jkpd
GRTN文化频道,https://gd.luzong.cc.cd/whpd
GRTN生活频道,https://gd.luzong.cc.cd/shpd
广东移动,https://gd.luzong.cc.cd/gdyd
汕头综合,https://gd.luzong.cc.cd/stzh
汕头经济生活,https://gd.luzong.cc.cd/stjj
汕尾新闻综合,https://gd.luzong.cc.cd/swzh
汕尾文化生活,https://gd.luzong.cc.cd/swwh
